已添加方块 41
end_chromium_ore = 末地铬矿石
end_manganese_ore = 末地锰矿石
nether_chromium_ore = 下界铬矿石
nether_manganese_ore = 下界锰矿石
apocalypsium_block = §4天启块
azathothium_block = 阿撒托斯块
cthulhurite_block = 克苏鲁块
nyarlathotepium_block = 奈亚拉托提普块
shubniggurathium_block = 莎布·尼古拉丝块
yogsothothium_block = 犹格·索托斯块
sanite_block = 灵神钢块
balanced_matrix_block = 平衡矩阵块
chaos_shard_block = 混沌晶块
chaotic_draconium_block = 混沌龙块
ruled_draconium_block = §b守则龙块
densite_block = 密度合金块
equipment_witherium_block = §a平衡凋灵块
everite_block = §e万§4化§b块
everite_machine_frame = 万化机器构架
fallen_metal_block = 堕落金属块
fire_alloy_block = §4炽炎合金块
genite_block = §d基因金属块
genite_machine_frame = 基因金属机器构架
ice_alloy_block = §b玄冰合金块
ordered_metal_block = 秩序金属块
ordered_fusion_core = §b秩序注入核心
reditrite_block = 红斑陨铁块
relifed_metal_block = 重生金属块
relifed_witherium_block = 复活凋灵块
sky_alloy_block = §b天空合金块
stormy_metal_block = 风暴金属块
stormy_witherium_block = 风暴凋灵块
stormy_shard_block = 风暴晶块
manasteel_machine_frame = 魔力钢机器构架
elemetiumsteel_machine_frame = 源质钢机器构架
terrasteel_machine_frame = 泰拉钢机器构架
orichalcos_machine_frame = 奥利哈刚机器构架
gaia_steel_machine_frame = 盖亚钢机器构架
gaia_spirit_machine_frame = 盖亚魂机器构架
half_lava_glass = 半熔岩玻璃
mana_block = 固态魔力块

已添加物品 167
apocalypsium_ingot = §4天启锭
apocalypsium_nugget = 天启粒
apocalypsium_dust = 天启粉
apocalypsium_gear = 天启齿轮
apocalypsium_plate = 天启板
azathothium_ingot = 阿撒托斯锭
cthulhurite_ingot = 克苏鲁锭
nyarlathotepium_ingot = 奈亚拉托提普锭
shubniggurathium_ingot = 莎布·尼古拉丝锭
yogsothothium_ingot = 犹格·索托斯锭
sanite_ingot = 灵神钢锭
balanced_matrix_ingot = 平衡矩阵
chaotic_draconium_ingot = 混沌龙锭
chaotic_draconium_nugget = 混沌龙粒
chaotic_draconium_dust = 混沌龙尘
awakened_draconium_dust = 觉醒龙尘
chaotic_draconium_gear = 混沌龙齿轮
chaotic_draconium_plate = 混沌龙板
ruled_draconium_ingot = §b守则龙锭
ruled_draconium_nugget = 守则龙粒
ruled_draconium_dust = 守则龙尘
ruled_draconium_gear = 守则龙齿轮
ruled_draconium_plate = 守则龙板
densite_ingot = 密度合金锭
densite_nugget = 密度合金粒
densite_dust = 密度合金粉
densite_gear = 密度合金齿轮
densite_plate = 密度合金板
equipment_witherium_ingot = §a平衡凋灵锭
equipment_witherium_nugget = 平衡凋灵粒
equipment_witherium_dust = 平衡凋灵尘
equipment_witherium_gear = 平衡凋灵齿轮
equipment_witherium_plate = 平衡凋灵板
everite_ingot = §e万§4化§b锭
everite_nugget = §e万§4化§b粒
everite_dust = §e万§4化§b粉
everite_gear = §e万§4化§b齿轮
everite_plate = §e万§4化§b板
fallen_metal_ingot = 堕落金属锭
fallen_metal_nugget = 堕落金属粒
fallen_metal_dust = 堕落金属粉
fallen_metal_gear = 堕落金属齿轮
fallen_metal_plate = 堕落金属板
fire_alloy_ingot = §4炽炎合金锭
fire_alloy_nugget = 炽炎合金粒
fire_alloy_dust = 炽炎合金粉
fire_alloy_gear = 炽炎合金齿轮
fire_alloy_plate = 炽炎合金板
genite_ingot = §d基因金属锭
genite_nugget = 基因金属粒
genite_dust = 基因金属粉
genite_gear = 基因金属齿轮
genite_plate = 基因金属板
ice_alloy_ingot = §b玄冰合金锭
ice_alloy_nugget = 玄冰合金粒
ice_alloy_dust = 玄冰合金粉
ice_alloy_gear = 玄冰合金齿轮
ice_alloy_plate = 玄冰合金板
ordered_metal_ingot = 秩序金属锭
ordered_metal_nugget = 秩序金属粒
ordered_metal_dust = 秩序金属粉
ordered_metal_gear = 秩序金属齿轮
ordered_metal_plate = 秩序金属板
reditrite_ingot = 红斑陨铁锭
reditrite_nugget = 红斑陨铁粒
reditrite_dust = 红斑陨铁粉
reditrite_gear = 红斑陨铁齿轮
reditrite_plate = 红斑陨铁板
relifed_metal_ingot = 重生金属锭
relifed_metal_nugget = 重生金属粒
relifed_metal_dust = 重生金属粉
relifed_metal_gear = 重生金属齿轮
relifed_metal_plate = 重生金属板
relifed_witherium_ingot = 复活凋灵锭
relifed_witherium_nugget = 复活凋灵粒
relifed_witherium_dust = 复活凋灵尘
relifed_witherium_gear = 复活凋灵齿轮
relifed_witherium_plate = 复活凋灵板
sky_alloy_ingot = §b天空合金锭
sky_alloy_nugget = 天空合金粒
sky_alloy_dust = 天空合金粉
sky_alloy_gear = 天空合金齿轮
sky_alloy_plate = 天空合金板
stormy_metal_ingot = 风暴金属锭
stormy_metal_nugget = 风暴金属粒
stormy_metal_dust = 风暴金属粉
stormy_metal_gear = 风暴金属齿轮
stormy_metal_plate = 风暴金属板
stormy_witherium_ingot = 风暴凋灵锭
stormy_witherium_nugget = 风暴凋灵粒
stormy_witherium_dust = 风暴凋灵尘
stormy_witherium_gear = 风暴凋灵齿轮
stormy_witherium_plate = 风暴凋灵板
stormy_fragment_tiny = 极小风暴碎片
stormy_fragment_small = 小的风暴碎片
stormy_fragment_large = 大的风暴碎片
stormy_shard = 风暴碎片
stormy_core = 风暴核心
witheric_core = 凋灵芯
fallen_core = 堕落凋灵核心
relifed_core = 复活核心
command_core = §d权限核心
blue_print_empty = 空白模块化蓝图
blue_print_forge = 熔炉模块化蓝图
finallium_ingot = §f终§7焉§8锭
botanical_soul = §2植物之魂
botanical_ingot = §2植物魂锭
botanical_ingot_awakened = §2觉醒植物魂锭
begonium_ingot = 秋海棠锭
carnationium_ingot = 康乃馨锭
chrysanthemium_ingot = 金雏菊锭
dandelionium_ingot = 蒲公英锭
myosotisium_ingot = 勿忘我锭
rosium_ingot = 血玫瑰锭
hermaphroditic_artifact = 阴阳宝晶
gaia_heart = §a盖亚之心
elementine_ingot = §4元§c素§e锭
greed_ingot = §d贪§5婪§9锭
wavite_ingot = §a波§b动§e锭
manasteel_fusionplate = 魔力钢聚合板
elementium_fusionplate = 源质钢聚合板
orichalcos_fusionplate = 奥利哈刚聚合板
naturalline = §a自然结晶
essenceofdarkrealm = 黑暗领域精华
essence_of_warped_ruin = 扭曲遗址精华
abyss_wand = 灵渊法杖
eye_of_abyss = §4深穹之眼
shoggoth_slimeball = 修格斯粘液球
shoggoth_complex_crystal = 修格斯螯合水晶
shoggy_slime = 浊化凝胶
shoggy_slime_purified = §e神化凝胶
lumixeium_dust = 曙光粉
naturaeum_dust = 生态粉
noxexeum_dust = 暗流粉
tonitruium_dust = 雷鸣粉
adeninite_nugget = 腺嘌呤晶粒
aetherium_nugget = 以太粒
snowingium_nugget = 碎雪粒
bnightium_nugget = 夜明粒
canopium_nugget = 苍穹粒
cosmilite_nugget = 寰宇粒
freezite_nugget = 封晶粒
guaninite_nugget = 鸟嘌呤晶粒
lavarite_nugget = 熔浆粒
mistium_nugget = 缥缈粒
oceanium_nugget = 浩瀚粒
plasmarite_nugget = 等离子粒
thyminite_nugget = 胸腺嘧粒
kabalah_ring_ain = 生命树能量环-Ain
kabalah_ring_aur = 生命树能量环-Aur
kabalah_ring_soph = 生命树能量环-Soph
rune_active_1 = 激活的王冠符文
rune_active_2 = 激活的智慧符文
rune_active_3 = 激活的理解符文
